16 Personality Type Results,Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Reusable_Water_Bottle,Meals_Delivery_Service_Percent,Ride_Share_Percent
ISFJ-A,Business of Cinematic Arts,N/A,Applied Analytics,N/A,No,2024,Senior,3.95,18,No,No,Work,Advertising,Marketing,8-May,No,No,No,No,No,No,4,50%,Yes,30-40%,20-30%,≤ 10%,Yes,20-30%,4,Male,21,US,80906,No,1,"Instagram,Twitter,Tiktok,Google News,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,25%
ISTJ-T,Business Administration,Accounting,Applied Analytics,N/A,No,2024,Senior,3.78,18,No,No,Work,Finance: IB/Bokerage,Finance Management,8-May,No,No,Yes,Yes,No,No,3,50%,Yes,≤ 10%,30-40%,≤ 10%,Yes,20-30%,3,Male,21,US,96815,No,2,"Instagram,Snapchat,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",No,No,No,Yes,0%,25%
ENTJ-A,Applied and Computational Mathematics,Data Science,Economics,Computer Science,No,2023,Senior,3.99,4,No,Yes,Work,Finance: FinTech,Engineering,0,No,No,Yes,No,No,No,4,25%,Yes,30-40%,20-30%,30-40%,Yes,30-40%,3,Female,23,CN,N/A,No,2,"Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,25%
INTP-A,Economics,,Applied Analytics,,No,2024,Senior,3.44,16,No,No,Work,Finance: Asset Management,Finance Management,4-Jan,No,No,Yes,Yes,No,Yes,4,0%,No,≤ 10%,20-30%,≤ 10%,Yes,10-20%,4,Male,22,US,60637,No,1,"Instagram,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,No,75%,25%
ESTJ-A,Business Administration,,Applied Analytics,,Yes,2024,Senior,3.4,15,No,No,Graduate School,Technology: Software/Internet,Other,8-May,Yes,No,No,No,No,Yes,5,0%,Yes,20-30%,> 50%,≤ 10%,Depends,30-40%,5,Female,21,US,94568,Yes,4,Instagram,Yes,Yes,Yes,Yes,25%,25%
ESFJ-A,Business Administration,N/A,Applied Analytics,N/A,No,2024,Senior,3.59,18,"Yes, from a 2 year college.",No,Work,Finance: Insurance,Risk Management,4-Jan,No,No,Yes,Yes,No,No,4,0%,Yes,≤ 10%,30-40%,≤ 10%,Depends,20-30%,4,Male,21,US,90275,Yes,2,"Instagram,Snapchat,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,0%,25%
ESFJ-A,Business Administration ,,Applied Analytics,,No,2024,Senior,3.96,16,No,No,Work,Consulting,Business/Corporate Services,8-May,Yes,No,Yes,No,No,No,4,75%,Yes,10-20%,20-30%,≤ 10%,Yes,30-40%,5,Female,22,US,80111,No,1,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
ENFJ-A,Business Administration',,Applied Analytics,,No,2024,Senior,3.98,18,No,No,Work,Consulting,Finance Management,8+,Yes,No,No,No,No,No,5,25%,Yes,> 50%,20-30%,≤ 10%,Yes,10-20%,5,Male,21,US,94945,Yes,1,"Instagram,Snapchat,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,No,0%,50%
ESTP-A,International Relations,,Applied Analytics,,No,2024,Senior,3.2,19,No,No,Work,Other,Other,8-May,Yes,No,Yes,No,Yes,No,3,100%,Yes,20-30%,> 50%,≤ 10%,Depends,10-20%,3,Male,21,US,98074,No,2,"Instagram,TV,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
INFJ-A,Accounting,,Applied Analytics,Disruptive Innovation,No,2024,Senior,3.78,18,No,No,Work,Consulting,Business/Corporate Services,8-May,No,No,Yes,Yes,Yes,Yes,4,75%,Yes,10-20%,> 50%,10-20%,Yes,30-40%,5,Female,21,US,66213,No,2,"Instagram,Twitter,Tiktok,Youtube,Google News",Yes,Yes,Yes,Yes,0%,50%
ENTP-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.27,18,No,No,Work,Other,Operations Management,8+,Yes,No,Yes,No,No,No,5,0%,No,≤ 10%,> 50%,≤ 10%,Yes,10-20%,5,Female,21,US,92692,Yes,1,"Instagram,Tiktok,TV",Yes,Yes,No,Yes,0%,0%
ENTP-T,Business Administration,,Applied Analytics,Communication Design,No,2024,Senior,3.86,18,No,No,Work,Consulting,Client/Customer Services,4-Jan,No,No,Yes,No,No,No,4,0%,No,≤ 10%,10-20%,≤ 10%,Depends,>50%,4,Female,20,US,95616,Yes,2,"Instagram,Snapchat,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
INTJ-T,Economics,Data Science,None,None,No,2024,Senior,3.54,17,No,No,Work,Consulting,Finance Management,0,No,No,No,Yes,No,No,5,100%,Yes,10-20%,> 50%,≤ 10%,Yes,10-20%,5,Male,21,US,30064,No,1,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,25%,25%
ENTJ-T,business,no,no,no,No,2024,Senior,3.6,16,No,No,Work,Finance: IB/Bokerage,Finance Management,8-May,Yes,No,No,No,Yes,Yes,5,0%,Yes,10-20%,20-30%,≤ 10%,Yes,10-20%,4,Male,22,us,83712,No,1,"Instagram,Snapchat,Youtube",Yes,No,No,No,50%,25%
ISFP-T,Applied and Computational Mathematics (AMCM),N/A,Applied Analytics,N/A,No,2024,Senior,3.77,12,No,No,Work,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",0,No,No,No,Yes,No,Yes,4,50%,No,10-20%,30-40%,≤ 10%,Depends,30-40%,4,Male,21,US,94063,Yes,2,"Twitter,Youtube,News Sites. (e.g. Wall Street Journal",No,No,Yes,Yes,25%,50%
ISFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.58,16,No,No,Work,Other,Business/Corporate Services,0,No,No,No,No,No,Yes,3,0%,No,≤ 10%,≤ 10%,20-30%,Depends,>50%,4,Female,21,US,93065,Yes,1,"Instagram,Tiktok,Youtube",Yes,Yes,Yes,Yes,0%,0%
ENTJ-A,Economics,,Business Finance,Applied Analytics,No,2024,Senior,3.91,16,No,No,Work,Finance: IB/Bokerage,Finance Management,4-Jan,Yes,No,No,No,No,No,4,0%,No,20-30%,20-30%,≤ 10%,Yes,30-40%,4,Male,21,US,11797,No,1,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,25%,0%
ESFJ-A,Business Administration,N/A,Applied Analytics,N/A,No,2024,Senior,3.8,16,No,Yes,Work,Technology: Software/Internet,Other,0,No,Yes,Yes,Yes,No,No,5,0%,Yes,≤ 10%,> 50%,≤ 10%,Depends,30-40%,5,Male,24,SG,N/A,No,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,75%,50%
ISFJ-T,Accounting,,Applied Analytics,,Yes,2024,Senior,3.77,18,No,No,Work,Finance: Accounting,Business/Corporate Services,8-May,No,No,Yes,No,Yes,No,4,0%,Yes,≤ 10%,30-40%,10-20%,Depends,>50%,4,Male,21,US,91006,Yes,1,"Instagram,Facebook,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,25%
ESFP-A,Economics,,Applied Analytics ,,No,2024,Senior,3.6,16,No,No,Work,Finance: Asset Management,Business/Corporate Services,8-May,Yes,No,No,No,Yes,Yes,5,0%,Yes,20-30%,20-30%,≤ 10%,Depends,20-30%,4,Male,21,US,6883,No,2,"TV,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,0%
ISFJ-T,Business Administration,,Applied Analytics ,,No,2024,Senior,3.55,13,No,No,Work,Technology: Other,Marketing,8-May,Yes,No,No,No,Yes,No,4,0%,No,≤ 10%,30-40%,10-20%,Depends,30-40%,5,Female,21,US,92131,Yes,1,"Instagram,Tiktok,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,25%
ISTJ-T,Business Administration,,Connected Devices and Making,Computer Programming,No,2024,Senior,3.98,3.98,No,Yes,Work,Technology: Other,Operations Management,4-Jan,No,Yes,No,Yes,No,No,4,25%,Yes,≤ 10%,30-40%,≤ 10%,Yes,20-30%,4,Female,21,PH,N/A,No,2,"Instagram,Tiktok,Google News",Yes,Yes,No,Yes,25%,25%
ENFJ-T,Business Administration (Emphasis: Business Analytics),,Applied Analytics,,No,2024,Senior,3.4,16,"Yes, from a 4 year college.",No,Work,Consulting,Risk Management,0,No,Yes,Yes,No,No,No,3,75%,Yes,≤ 10%,10-20%,20-30%,Yes,20-30%,4,Female,21,US,90012,Yes,2,"Instagram,Facebook,Tiktok,Other",Yes,No,No,Yes,25%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2023,Senior,3.3,23,No,No,Work,Finance: FinTech,Finance Management,4-Jan,No,No,No,No,No,No,1,0%,No,≤ 10%,30-40%,≤ 10%,Yes,30-40%,4,Male,20,US,90007,Yes,1,"Youtube,Google News",Yes,Yes,No,Yes,25%,0%
ENFP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.74,14,"Yes, from a 4 year college.",No,Work,Technology: Software/Internet,Business/Corporate Services,4-Jan,Yes,No,Yes,Yes,No,No,4,0%,No,≤ 10%,30-40%,20-30%,Depends,20-30%,4,Female,22,US,95070,Yes,3,"Instagram,Tiktok,TV,Youtube",Yes,Yes,Yes,Yes,25%,25%
ENFJ-A,Cognitive Science,,Applied Analytics,User Experience,No,2024,Senior,4,16,No,No,Work,Other,Information and Communications Technology,8+,Yes,No,No,No,No,No,4,0%,No,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Female,21,US,92662,Yes,1,"Instagram,Tiktok",Yes,Yes,Yes,Yes,25%,0%
ESTJ-T,International Relations,,Applied Analytics,,No,2025,Junior,3.73,18,No,No,Graduate School,Government,"Planning, Policy, and Strategy",4-Jan,No,Yes,Yes,Yes,No,No,4,0%,No,20-30%,> 50%,10-20%,Depends,20-30%,4,Female,20,US,80503,No,2,"Instagram,Tiktok",Yes,Yes,No,Yes,25%,75%
ISTJ-A,Business Administration,,Applied Analytics,Artificial Intelligence Applications,No,2024,Senior,3.82,16,No,No,Work,Consulting,Operations Management,0,No,No,Yes,Yes,No,No,4,0%,No,≤ 10%,20-30%,≤ 10%,Yes,20-30%,4,Female,21,US,95135,Yes,2,"Instagram,Twitter,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
INFJ-T,Psychology,,Applied Analytics,,No,2024,Senior,3.89,16,No,No,Work,Food/Beverage/Tobacco,Business/Corporate Services,4-Jan,No,No,No,No,No,No,5,50%,Yes,30-40%,20-30%,≤ 10%,Yes,20-30%,5,Female,21,US,63017,No,1,"Instagram,Twitter,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,0%
ESFJ-A,Business Administration,,Applied Analytics,,Yes,2024,Senior,3.47,18,No,No,Work,Other,Operations Management,8-May,No,No,Yes,No,No,Yes,5,0%,No,≤ 10%,10-20%,≤ 10%,Depends,>50%,5,Male,21,US,94545,Yes,1,"Instagram,Youtube",No,Yes,No,Yes,0%,0%
INTJ-A,Business Administration,Applied Data Science,Applied Analytics,N/A,Yes,2024,Senior,3.81,16,No,No,Work,Health Care,Information and Communications Technology,8-May,No,No,No,Yes,No,No,5,50%,Yes,30-40%,> 50%,10-20%,Yes,30-40%,5,Male,21,US,91006,Yes,1,"Instagram,Snapchat,Twitter,Tiktok",Yes,Yes,No,Yes,25%,50%
ISTJ-T,Applied and Computational Mathematics,,Applied Analytics,,Planning on joining.,2025,Senior,3.82,18,No,Yes,Graduate School,Finance: Accounting,Finance Management,0,No,No,No,No,No,No,4,0%,Yes,20-30%,10-20%,≤ 10%,Depends,30-40%,4,Female,22,CN,N/A,No,4,Instagram,Yes,Yes,No,No,25%,50%
ESTP-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.6,18,No,No,Work,Consulting,Business/Corporate Services,8+,Yes,No,Yes,No,No,Yes,4,0%,No,≤ 10%,> 50%,10-20%,Depends,20-30%,4,Male,21,US,90272,Yes,1,"Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,50%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,4,16,No,Yes,Work,Finance:VC/Private Equities,Finance Management,8-May,Yes,No,Yes,Yes,No,No,4,50%,Yes,10-20%,20-30%,≤ 10%,Yes,20-30%,5,Male,22,MX,N/A,No,3,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,No,Yes,25%,50%
ISTP-T,Business Administration,na,Applied Analytics,na,No,2024,Senior,3.69,14,No,Yes,Work,Consulting,Finance Management,4-Jan,No,Yes,Yes,Yes,No,No,4,0%,No,≤ 10%,20-30%,20-30%,Yes,20-30%,4,Female,22,CN,N/A,Yes,2,Tiktok,Yes,Yes,Yes,Yes,25%,0%
ENFJ-T,Human Biology, Data Science,None,,No,2024,Senior,3.99,16,No,No,Graduate School,Health Care,Other,4-Jan,Yes,No,Yes,Yes,Yes,No,5,50%,Yes,30-40%,30-40%,≤ 10%,Yes,10-20%,5,Male,21,US,96822,No,1,"Instagram,Youtube",Yes,Yes,No,No,0%,0%
ENFP-A,Business Administration (Marketing),,Applied Analytics,,Planning on joining.,2024,Junior,3.42,16,No,No,Still Deciding,Media/Communications,Marketing,8-May,No,No,No,Yes,No,No,5,0%,Yes,30-40%,30-40%,≤ 10%,Yes,30-40%,4,Female,21,US,98903,No,2,"Instagram,Tiktok,TV,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,25%
ENFP-A,Accounting,Business Administration,Applied Analytics,,No,2024,Senior,3.84,18,No,No,Work,Finance: Accounting,Client/Customer Services,8-May,No,No,Yes,No,No,No,3,75%,Yes,≤ 10%,20-30%,≤ 10%,Yes,>50%,4,Female,21,US,60565,No,1,"Instagram,Facebook,Twitter,Tiktok,TV,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,50%
ENFJ-T,Business Administration,,Applied Analytics,,Planning on joining.,2023,Senior,3.68,8,"Yes, from a 4 year college.",Yes,Graduate School,Consulting,Business/Corporate Services,4-Jan,No,No,No,No,No,No,2,0%,No,≤ 10%,20-30%,≤ 10%,Depends,20-30%,4,Female,23,CN,N/A,Yes,2,"Instagram,Google News,Other",Yes,Yes,No,No,25%,0%
ESFJ-A,Computational Neuroscience,,Applied Analytics,,No,2024,Senior,3.78,16,No,No,Gap Year(s),Health Care,Other,0,Yes,No,Yes,Yes,Yes,Yes,4,100%,Yes,20-30%,20-30%,≤ 10%,Depends,>50%,4,Male,21,US,91006,Yes,2,"Instagram,Tiktok,Youtube,Google News",Yes,Yes,Yes,Yes,25%,0%
ESFP-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.93,16,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,4,0%,No,≤ 10%,> 50%,10-20%,Yes,20-30%,3,Female,21,US,98004,No,3,"Instagram,Youtube",Yes,Yes,No,No,0%,75%
ENFJ-A,Business Administration,Accounting,Applied Analytics,,No,2023,Senior,3.53,18,"Yes, from a 2 year college.",No,Work,Energy,Other,4-Jan,No,Yes,Yes,No,No,No,5,25%,No,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Male,23,US,92009,Yes,2,Other,Yes,Yes,No,Yes,0%,0%
ENFJ-T,Accounting ,Business Administration,Applied Analytics,,No,2024,Senior,3.99,21,No,Yes,Work,Finance: Accounting,Finance Management,4-Jan,No,Yes,Yes,Yes,No,Yes,3,25%,Yes,20-30%,30-40%,10-20%,Yes,>50%,3,Female,21,CN,N/A,No,2,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,0%
INFP-A,Cognitive Science,Data Science,None,None,No,2024,Senior,3.48,16,"Yes, from a 4 year college.",Yes,Work,Automotive/Transportation Equipment,"Information Services, Statistics, Records, and Archives",4-Jan,No,No,No,Yes,No,No,3,0%,Yes,10-20%,20-30%,≤ 10%,Yes,20-30%,4,Male,21,TW,N/A,No,2,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,0%
INFJ-T,Computer Science,,Connected Devices and Making,,Planning on joining.,2025,Junior,3.43,18,No,No,Graduate School,Technology: Software/Internet,Engineering,0,No,No,No,No,Yes,No,4,25%,Yes,10-20%,20-30%,20-30%,Yes,>50%,4,Female,20,US,90042,Yes,1,"Instagram,Youtube",Yes,No,No,Yes,0%,0%
ESTJ-A,Journalism,,Applied Analytics,Sports Business and Management,No,2024,Senior,3.87,14,No,No,Graduate School,Sports Management,Sport and Recreation,8+,Yes,No,Yes,No,No,Yes,5,0%,Yes,> 50%,20-30%,≤ 10%,Yes,10-20%,5,Male,21,US,60201,No,1,"Instagram,Twitter,Tiktok",Yes,Yes,No,Yes,0%,25%
ESTJ-A,Business Adminstration,,Applied Analytics,Real Estate Development,No,2024,Senior,3.92,18,No,No,Work,Real Estate,Finance Management,4-Jan,No,No,Yes,No,Yes,No,4,0%,Yes,20-30%,10-20%,10-20%,Yes,30-40%,4,Male,20,US,91356,Yes,1,"Instagram,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",No,Yes,No,No,25%,0%
INTJ-A,Computational neuroscience,N/A,Data analytics,N/A,No,2024,Junior,3.11,12,No,Yes,Graduate School,Life Sciences,Science and Technical R&D,0,No,No,No,No,No,No,2,0%,No,≤ 10%,≤ 10%,10-20%,Depends,10-20%,4,Male,21,CN,N/A,Yes,2,"Instagram,Twitter,Youtube,Google News",Yes,Yes,Yes,Yes,50%,50%
INTJ-A,Biochemistry,,Applied Analytics,,No,2025,Junior,3.84,16,No,No,Graduate School,Pharmaceuticals/Biotech/Medical Devices,Science and Technical R&D,4-Jan,No,No,No,No,No,Yes,3,0%,No,10-20%,≤ 10%,≤ 10%,Yes,>50%,4,Male,20,US,95120,Yes,3,"Instagram,Twitter,Google News",Yes,Yes,Yes,Yes,0%,25%
ISTP-T,Economics,,Applied Analytics,,No,2023,Senior,3.7,16,"Yes, from a 2 year college.",Yes,Graduate School,Finance: Diversiified Financial Services,Finance Management,0,No,No,No,No,No,No,2,0%,No,≤ 10%,10-20%,≤ 10%,Yes,20-30%,3,Female,22,CN,N/A,No,2,Other,No,Yes,Yes,Yes,75%,0%
INFP-T,Economics/Mathematics,,Applied Analytics,,Planning on joining.,2025,Junior,3.04,18,No,No,Work,Finance: Diversiified Financial Services,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,Yes,3,0%,Yes,10-20%,10-20%,10-20%,Depends,10-20%,4,Male,21,ET,N/A,No,2,"Instagram,Twitter,Tiktok,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,50%,25%
ESTJ-T,Business Admin ,,Applied Analytics ,,No,2024,Senior,3.3,16,No,No,Work,Technology: Software/Internet,Operations Management,4-Jan,No,No,Yes,Yes,No,No,5,25%,Yes,≤ 10%,20-30%,≤ 10%,Depends,30-40%,5,Female,21,US,94583,Yes,2,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,25%,75%
ENTJ-A,Environmental Studies,,Applied Analytics,,No,2023,Senior,3.86,16,No,No,Graduate School,Other,Environment/Conservation,4-Jan,No,No,No,No,No,Yes,3,0%,Yes,> 50%,≤ 10%,20-30%,Depends,>50%,3,Male,21,US,95030,Yes,2,"Instagram,Twitter,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,0%
ISTJ-A,Business Administration,/,Applied Analytics,/,No,2024,Senior,3.81,12,No,Yes,Graduate School,Consulting,Business/Corporate Services,4-Jan,No,Yes,No,No,No,No,4,0%,Yes,≤ 10%,10-20%,≤ 10%,Depends,>50%,4,Male,21,CN,N/A,No,2,"Instagram,Tiktok,Youtube",Yes,Yes,No,No,50%,25%
ENFP-A,Business Administration,N/A,Applied Analytics,N/A,Planning on joining.,2024,Senior,3.64,17,No,Yes,Still Deciding,Consulting,Business/Corporate Services,4-Jan,No,Yes,Yes,No,No,No,4,0%,No,10-20%,30-40%,10-20%,Depends,30-40%,4,Female,22,TW,N/A,No,2,Instagram,Yes,Yes,Yes,Yes,25%,25%
ESTJ-T,Economics,Data Science,None,None,Yes,2025,Junior,3.96,16,No,Yes,Gap Year(s),Law,Legal Personnel,4-Jan,No,Yes,Yes,Yes,No,No,4,0%,No,10-20%,10-20%,≤ 10%,Depends,10-20%,5,Female,19,CN,N/A,No,2,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
ENTP-T,Data Science,Cognitive Science,none,none,Planning on joining.,2024,Junior,3.51,20,No,Yes,Graduate School,Technology: Software/Internet,Web Design and Publishing,4-Jan,No,No,Yes,Yes,No,No,4,0%,Yes,30-40%,> 50%,≤ 10%,Yes,>50%,4,Female,20,TW,N/A,No,3,"Instagram,Snapchat,Facebook,Twitter,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
ISTJ-A,Economics,,None,,Planning on joining.,2023,Senior,3.84,20,No,No,Gap Year(s),Law,Business/Corporate Services,4-Jan,No,No,No,Yes,No,No,2,25%,Yes,10-20%,20-30%,20-30%,Yes,30-40%,2,Female,22,US,N/A,No,3,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.82,18,No,No,Still Deciding,Finance: FinTech,Business/Corporate Services,4-Jan,No,No,No,No,Yes,No,4,0%,Yes,10-20%,30-40%,20-30%,Depends,30-40%,5,Female,21,US,93063,Yes,3,"Instagram,Facebook,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,0%
ESFJ-A,Computer Science,,Applied Analytics,,No,2024,Senior,3.18,18,No,Yes,Work,Technology: Other,Science and Technical R&D,0,Yes,Yes,Yes,No,No,No,4,0%,Yes,30-40%,20-30%,10-20%,Depends,30-40%,5,Female,22,Tu,N/A,Yes,2,"Instagram,Twitter,Tiktok,Youtube",Yes,Yes,No,Yes,25%,75%
INFP-T,Data Science,Political Science,Cinematic Arts,,Planning on joining.,2024,Senior,3.7,18,"Yes, from a 2 year college.",No,Still Deciding,Other,Engineering,4-Jan,No,Yes,No,Yes,No,No,4,75%,Yes,20-30%,10-20%,10-20%,Yes,30-40%,5,Male,27,US,n/a,Yes,2,"Tiktok,Youtube,Google News,News Sites. (e.g. Wall Street Journal,Physical Newspaper",Yes,Yes,Yes,Yes,0%,0%
